filename,width,height,class,xmin,ymin,xmax,ymax
246781.jpeg,500,800,footwear,22,4,499,800
298332.jpeg,500,800,footwear,32,268,500,757
140041.jpeg,500,800,dress,103,89,368,800
191875.jpeg,500,800,dress,171,34,342,753
132964.jpeg,500,800,dress,157,119,300,471
221593.jpeg,500,800,footwear,22,242,486,748
208916.jpeg,500,800,dress,136,127,337,685
345137.jpeg,500,800,footwear,69,13,436,795
235124.jpeg,500,800,footwear,21,36,494,778
245714.jpeg,500,800,footwear,42,216,460,621
99584.jpeg,500,800,footwear,45,57,466,753
198222.jpeg,500,800,footwear,1,24,473,701
153085.jpeg,500,800,dress,23,4,474,800
163477.jpeg,500,800,dress,101,94,396,753
140100.jpeg,500,800,dress,138,109,296,769
191874.jpeg,500,800,dress,168,25,328,788
33747.jpeg,500,800,footwear,21,627,481,761
220400.jpeg,500,800,footwear,23,251,482,530
35459.jpeg,500,800,footwear,40,104,461,741
284629.jpeg,500,800,dress,171,135,322,392
64042.jpeg,500,800,footwear,13,200,500,756
23288.jpeg,500,800,dress,2,1,495,800
204362.jpeg,500,800,dress,136,195,418,758
195418.jpeg,500,800,dress,171,141,324,542
305918.jpeg,500,800,footwear,81,51,391,739
195425.jpeg,500,800,dress,168,135,323,552
82650.jpeg,500,800,footwear,1,29,464,706
129533.jpeg,500,800,footwear,26,390,457,668
54220.jpeg,500,800,footwear,66,5,374,751
278692.jpeg,500,800,footwear,16,182,500,583
270168.jpeg,500,800,footwear,168,152,345,643
65727.jpeg,500,800,footwear,26,322,496,756
301282.jpeg,500,800,dress,187,132,365,542
35460.jpeg,500,800,footwear,29,198,486,784
323320.jpeg,500,800,footwear,106,22,389,788
276627.jpeg,500,800,footwear,1,248,484,669
208917.jpeg,500,800,dress,176,127,326,659
234137.jpeg,500,800,footwear,11,8,500,787
348490.jpeg,500,800,footwear,116,76,336,746
231277.jpeg,500,800,footwear,5,5,491,780
301280.jpeg,500,800,dress,173,152,322,545
298333.jpeg,500,800,footwear,47,45,465,762
248675.jpeg,500,800,footwear,5,10,489,800
127224.jpeg,500,800,dress,159,122,361,800
309357.jpeg,500,800,dress,13,10,483,800
199924.jpeg,500,800,footwear,18,279,491,656
23287.jpeg,500,800,dress,3,1,499,800
186123.jpeg,500,800,dress,155,40,345,427
204358.jpeg,500,800,dress,92,189,410,731
195412.jpeg,500,800,dress,133,135,321,536
82647.jpeg,500,800,footwear,12,51,479,756
327324.jpeg,500,800,footwear,5,156,500,596
177744.jpeg,500,800,footwear,16,199,500,626
325351.jpeg,500,800,footwear,26,277,490,624
161087.jpeg,500,800,dress,142,184,363,768
240534.jpeg,500,800,footwear,12,18,487,800
195423.jpeg,500,800,dress,175,132,323,571
311849.jpeg,500,800,dress,186,130,318,509
195413.jpeg,500,800,dress,160,137,323,545
54217.jpeg,500,800,footwear,12,267,480,758
276626.jpeg,500,800,footwear,13,209,492,645
284630.jpeg,500,800,dress,174,130,337,479
210290.jpeg,500,800,dress,170,125,328,461
185327.jpeg,500,800,dress,140,27,364,521
284035.jpeg,500,800,footwear,16,177,500,613
348607.jpeg,500,800,footwear,126,20,338,777
54218.jpeg,500,800,footwear,31,410,464,753
79749.jpeg,500,800,footwear,76,18,412,748
286863.jpeg,500,800,dress,173,115,337,546
191812.jpeg,500,800,footwear,10,404,500,775
323328.jpeg,500,800,footwear,86,40,343,800
54219.jpeg,500,800,footwear,16,72,481,673
243238.jpeg,500,800,footwear,18,13,494,800
249225.jpeg,500,800,footwear,10,19,488,800
328995.jpeg,500,800,footwear,137,100,368,719
157056.jpeg,500,800,dress,127,164,397,669
195428.jpeg,500,800,dress,163,134,324,540
207680.jpeg,500,800,footwear,165,19,350,735
277733.jpeg,500,800,footwear,18,336,500,715
204356.jpeg,500,800,dress,102,192,411,736
284034.jpeg,500,800,footwear,8,174,500,599
153799.jpeg,500,800,dress,131,131,358,483
278910.jpeg,500,800,footwear,21,179,476,577
207569.jpeg,500,800,footwear,121,255,336,734
248036.jpeg,500,800,footwear,10,9,493,800
284631.jpeg,500,800,dress,173,122,332,497
140042.jpeg,500,800,dress,139,114,348,750
204363.jpeg,500,800,dress,101,188,428,715
294692.jpeg,500,800,footwear,10,55,485,783
139468.jpeg,500,800,dress,127,226,378,774
198529.jpeg,500,800,footwear,5,324,500,685
79748.jpeg,500,800,footwear,73,15,431,761
250604.jpeg,500,800,footwear,32,10,490,756
204359.jpeg,500,800,dress,82,203,378,737
153084.jpeg,500,800,dress,106,169,417,800
226758.jpeg,500,800,footwear,8,18,500,787
285790.jpeg,500,800,dress,197,122,326,397
333909.jpeg,500,800,footwear,144,74,326,727
234759.jpeg,500,800,footwear,18,14,500,780
327325.jpeg,500,800,footwear,134,126,374,655
215635.jpeg,500,800,footwear,11,15,500,780
142887.jpeg,500,800,footwear,42,1,500,748
243652.jpeg,500,800,footwear,6,13,480,800
140099.jpeg,500,800,dress,29,1,500,797
231276.jpeg,500,800,footwear,26,16,482,776
221088.jpeg,500,800,footwear,3,24,500,775
139361.jpeg,500,800,dress,121,151,366,714
301281.jpeg,500,800,dress,169,147,334,368
177211.jpeg,500,800,footwear,90,26,378,763
294691.jpeg,500,800,footwear,82,37,406,755
239898.jpeg,500,800,footwear,2,24,500,778
234687.jpeg,500,800,footwear,13,13,491,787
199923.jpeg,500,800,footwear,133,100,364,710
204370.jpeg,500,800,dress,170,131,332,509
82649.jpeg,500,800,footwear,39,380,474,732
204373.jpeg,500,800,dress,171,111,316,515
298219.jpeg,500,800,footwear,31,51,448,722
229790.jpeg,500,800,footwear,31,214,500,599
35462.jpeg,500,800,footwear,63,109,401,772
221594.jpeg,500,800,footwear,13,31,474,776
305929.jpeg,500,800,footwear,70,56,444,741
146620.jpeg,500,800,dress,123,121,405,798
308421.jpeg,500,800,dress,168,278,312,689
195419.jpeg,500,800,dress,174,145,338,387
133048.jpeg,500,800,dress,63,1,500,800
140098.jpeg,500,800,dress,133,126,297,766
277736.jpeg,500,800,footwear,128,66,348,740
153800.jpeg,500,800,dress,28,4,472,800
298493.jpeg,500,800,footwear,118,52,357,726
249226.jpeg,500,800,footwear,5,14,500,778
216769.jpeg,500,800,footwear,5,9,500,794
204796.jpeg,500,800,dress,190,135,322,513
199363.jpeg,500,800,footwear,44,41,438,785
148685.jpeg,500,800,footwear,53,279,500,612
300833.jpeg,500,800,footwear,27,369,484,727
127225.jpeg,500,800,dress,185,132,357,761
186164.jpeg,500,800,dress,117,59,381,751
195426.jpeg,500,800,dress,171,139,328,392
226146.jpeg,500,800,footwear,10,15,500,792
180365.jpeg,500,800,footwear,21,51,444,745
290106.jpeg,500,800,dress,190,188,321,398
35461.jpeg,500,800,footwear,27,206,474,766
195420.jpeg,500,800,dress,173,136,344,555
174468.jpeg,500,800,footwear,50,252,490,614
311850.jpeg,500,800,dress,179,131,332,508
204366.jpeg,500,800,dress,195,188,344,780
290105.jpeg,500,800,dress,203,176,322,493
64043.jpeg,500,800,footwear,18,378,468,756
204364.jpeg,500,800,dress,24,95,419,800
221089.jpeg,500,800,footwear,7,1,500,766
195424.jpeg,500,800,dress,175,140,343,543
195421.jpeg,500,800,dress,171,122,329,572
195414.jpeg,500,800,dress,173,145,328,546
179661.jpeg,500,800,dress,65,187,354,794
229462.jpeg,500,800,footwear,5,5,499,800
285789.jpeg,500,800,dress,179,120,338,525
146621.jpeg,500,800,dress,148,125,360,794
157055.jpeg,500,800,dress,127,114,359,488
284042.jpeg,500,800,footwear,28,169,500,645
311846.jpeg,500,800,dress,176,130,308,516
82648.jpeg,500,800,footwear,13,385,489,766
195417.jpeg,500,800,dress,194,136,336,535
82645.jpeg,500,800,footwear,28,301,487,752
285793.jpeg,500,800,dress,189,125,319,526
279551.jpeg,500,800,footwear,5,195,500,600
301024.jpeg,500,800,footwear,163,47,361,748
247581.jpeg,500,800,footwear,3,6,500,779
153081.jpeg,500,800,dress,157,93,380,715
250603.jpeg,500,800,footwear,10,9,500,778
300218.jpeg,500,800,footwear,38,47,444,739
323325.jpeg,500,800,footwear,97,29,382,757
139362.jpeg,500,800,dress,205,108,353,476
220402.jpeg,500,800,footwear,13,32,500,778
