filename,width,height,class,xmin,ymin,xmax,ymax
185327.jpeg,500,800,footwear,196,699,286,799
197169.jpeg,500,800,dress,186,135,360,494
197169.jpeg,500,800,footwear,213,683,306,793
32929.jpeg,500,800,dress,134,118,373,779
38212.jpeg,500,800,dress,157,77,347,757
170766.jpeg,500,800,dress,173,43,326,474
170766.jpeg,500,800,footwear,199,673,312,792
286863.jpeg,500,800,dress,190,203,323,532
286863.jpeg,500,800,footwear,228,745,286,800
357270.jpeg,500,800,dress,203,50,299,768
157056.jpeg,500,800,dress,119,182,379,641
235951.jpeg,500,800,dress,186,119,326,682
235951.jpeg,500,800,footwear,215,699,295,767
157756.jpeg,500,800,dress,111,177,401,800
236156.jpeg,500,800,dress,166,129,326,726
365264.jpeg,500,800,dress,22,9,473,800
358350.jpeg,500,800,dress,165,64,324,520
358350.jpeg,500,800,footwear,195,721,238,800
195428.jpeg,500,800,dress,180,134,349,540
195428.jpeg,500,800,footwear,216,719,315,790
354569.jpeg,500,800,dress,170,50,327,439
354569.jpeg,500,800,footwear,228,716,275,787
344016.jpeg,500,800,dress,137,174,381,742
387449.jpeg,500,800,dress,1,29,500,778
204356.jpeg,500,800,dress,116,205,397,741
130651.jpeg,500,800,dress,136,214,355,732
363291.jpeg,500,800,dress,168,45,348,440
363291.jpeg,500,800,footwear,210,672,255,785
109056.jpeg,500,800,dress,147,157,490,745
183106.jpeg,500,800,dress,169,34,323,455
183106.jpeg,500,800,footwear,213,695,282,798
109055.jpeg,500,800,dress,211,130,376,441
109055.jpeg,500,800,footwear,221,674,295,780
109055.jpeg,500,800,footwear,332,680,427,800
153799.jpeg,500,800,dress,139,124,342,458
153799.jpeg,500,800,footwear,103,680,182,800
153799.jpeg,500,800,footwear,226,673,285,789
285791.jpeg,500,800,dress,201,129,311,506
285791.jpeg,500,800,footwear,211,679,295,783
363501.jpeg,500,800,dress,179,57,322,497
363501.jpeg,500,800,footwear,234,682,279,782
402027.jpeg,500,800,dress,154,56,347,564
284631.jpeg,500,800,dress,178,129,334,473
284631.jpeg,500,800,footwear,205,676,280,784
279506.jpeg,500,800,dress,211,131,345,356
140042.jpeg,500,800,dress,173,124,329,741
140042.jpeg,500,800,footwear,164,748,299,798
38213.jpeg,500,800,dress,150,58,329,767
204363.jpeg,500,800,dress,121,204,445,740
191828.jpeg,500,800,dress,185,135,332,388
163525.jpeg,500,800,dress,157,124,350,768
387440.jpeg,500,800,dress,175,64,339,594
182508.jpeg,500,800,dress,176,34,326,400
182508.jpeg,500,800,footwear,184,678,291,800
139468.jpeg,500,800,dress,145,224,358,761
197171.jpeg,500,800,dress,196,145,322,327
354909.jpeg,500,800,dress,143,85,354,747
123772.jpeg,500,800,dress,126,143,387,772
385039.jpeg,500,800,dress,166,132,329,557
328616.jpeg,500,800,dress,171,45,327,787
204359.jpeg,500,800,dress,121,210,387,746
153084.jpeg,500,800,dress,111,163,373,800
191713.jpeg,500,800,dress,119,161,403,792
137127.jpeg,500,800,dress,165,114,284,699
137127.jpeg,500,800,footwear,207,693,279,797
285790.jpeg,500,800,dress,206,141,318,401
292265.jpeg,500,800,dress,145,159,329,695
387522.jpeg,500,800,dress,192,79,339,632
168856.jpeg,500,800,dress,186,159,361,543
168856.jpeg,500,800,footwear,169,682,282,780
397052.jpeg,500,800,dress,197,51,343,747
134667.jpeg,500,800,dress,1,1,500,799
365263.jpeg,500,800,dress,105,174,410,659
278494.jpeg,500,800,dress,184,131,326,529
278494.jpeg,500,800,footwear,247,684,281,783
346899.jpeg,500,800,dress,196,115,321,625
346899.jpeg,500,800,footwear,150,709,213,783
38214.jpeg,500,800,dress,140,68,349,776
347870.jpeg,500,800,dress,174,113,364,779
263507.jpeg,500,800,dress,137,129,331,780
387322.jpeg,500,800,dress,6,5,491,800
285056.jpeg,500,800,dress,192,132,311,785
140099.jpeg,500,800,dress,34,1,488,800
292266.jpeg,500,800,dress,181,194,363,688
344019.jpeg,500,800,dress,122,124,258,508
344019.jpeg,500,800,footwear,169,704,232,800
139361.jpeg,500,800,dress,142,151,358,690
301281.jpeg,500,800,dress,185,145,342,393
154784.jpeg,500,800,dress,157,114,317,592
154784.jpeg,500,800,footwear,171,705,282,800
109755.jpeg,500,800,dress,142,188,394,731
135805.jpeg,500,800,dress,150,194,387,758
249418.jpeg,500,800,dress,178,126,339,534
249418.jpeg,500,800,footwear,227,703,360,777
401909.jpeg,500,800,dress,118,77,370,668
355145.jpeg,500,800,dress,174,47,326,627
194843.jpeg,500,800,dress,161,115,340,548
194843.jpeg,500,800,footwear,176,684,240,798
381399.jpeg,500,800,dress,39,5,484,800
204370.jpeg,500,800,dress,170,134,317,506
204370.jpeg,500,800,footwear,208,671,284,785
108025.jpeg,500,800,dress,68,129,334,456
108025.jpeg,500,800,footwear,208,669,323,790
278493.jpeg,500,800,dress,206,161,327,550
278493.jpeg,500,800,footwear,221,698,334,800
381535.jpeg,500,800,dress,1,16,438,800
401203.jpeg,500,800,dress,1,8,476,800
388250.jpeg,500,800,dress,16,13,500,778
361741.jpeg,500,800,dress,195,26,336,764
263508.jpeg,500,800,dress,179,130,326,778
382971.jpeg,500,800,dress,163,69,349,721
204373.jpeg,500,800,dress,176,129,327,518
204373.jpeg,500,800,footwear,207,693,281,785
137601.jpeg,500,800,dress,163,99,315,457
137601.jpeg,500,800,footwear,185,689,355,794
304580.jpeg,500,800,dress,180,135,321,761
190146.jpeg,500,800,dress,150,53,361,729
107515.jpeg,500,800,dress,118,222,379,732
288581.jpeg,500,800,dress,205,129,340,380
132504.jpeg,500,800,dress,139,174,379,739
190359.jpeg,500,800,dress,190,130,319,709
190359.jpeg,500,800,footwear,207,684,287,785
204350.jpeg,500,800,dress,107,220,355,773
146620.jpeg,500,800,dress,163,129,388,800
136288.jpeg,500,800,dress,22,26,479,800
292263.jpeg,500,800,dress,173,180,310,689
157752.jpeg,500,800,dress,136,131,378,800
347602.jpeg,500,800,dress,113,199,386,741
308421.jpeg,500,800,dress,190,264,302,695
195419.jpeg,500,800,dress,173,145,331,385
197170.jpeg,500,800,dress,203,132,343,490
197170.jpeg,500,800,footwear,212,659,294,793
280870.jpeg,500,800,dress,176,130,296,532
280870.jpeg,500,800,footwear,210,698,300,799
363403.jpeg,500,800,dress,190,63,319,780
385164.jpeg,500,800,dress,180,57,327,562
385159.jpeg,500,800,dress,12,1,498,800
133048.jpeg,500,800,dress,100,8,491,800
357138.jpeg,500,800,dress,186,45,328,759
140098.jpeg,500,800,dress,140,137,268,727
140098.jpeg,500,800,footwear,202,737,248,800
382968.jpeg,500,800,dress,142,61,301,763
280875.jpeg,500,800,dress,194,130,322,551
280875.jpeg,500,800,footwear,203,685,290,789
153800.jpeg,500,800,dress,29,1,475,795
304579.jpeg,500,800,dress,208,150,302,759
204796.jpeg,500,800,dress,212,134,315,511
204796.jpeg,500,800,footwear,184,679,288,800
182507.jpeg,500,800,dress,154,41,331,626
387472.jpeg,500,800,dress,128,43,357,551
189048.jpeg,500,800,dress,165,59,317,525
189048.jpeg,500,800,footwear,184,706,307,798
162793.jpeg,500,800,dress,174,183,331,745
24520.jpeg,500,800,dress,31,5,498,800
384152.jpeg,500,800,dress,161,36,327,650
127225.jpeg,500,800,dress,206,131,350,762
186164.jpeg,500,800,dress,111,63,375,729
277972.jpeg,500,800,dress,203,158,331,383
195426.jpeg,500,800,dress,165,141,332,393
25606.jpeg,500,800,dress,166,113,345,768
385161.jpeg,500,800,dress,164,62,342,627
290106.jpeg,500,800,dress,201,185,343,442
163524.jpeg,500,800,dress,153,124,357,746
195420.jpeg,500,800,dress,191,153,343,541
195420.jpeg,500,800,footwear,140,743,287,800
346896.jpeg,500,800,dress,142,129,252,613
346896.jpeg,500,800,footwear,140,714,199,787
289182.jpeg,500,800,dress,179,130,328,556
289182.jpeg,500,800,footwear,211,688,299,784
307527.jpeg,500,800,dress,169,59,319,685
311850.jpeg,500,800,dress,191,127,311,503
311850.jpeg,500,800,footwear,210,715,259,774
363402.jpeg,500,800,dress,170,37,326,785
288578.jpeg,500,800,dress,199,118,327,527
288578.jpeg,500,800,footwear,206,692,286,800
361288.jpeg,500,800,dress,154,56,357,789
204366.jpeg,500,800,dress,176,193,348,777
341656.jpeg,500,800,dress,161,153,318,529
341656.jpeg,500,800,dress,222,714,275,792
290105.jpeg,500,800,dress,197,188,313,510
290105.jpeg,500,800,footwear,221,715,271,785
204364.jpeg,500,800,dress,18,121,456,800
130652.jpeg,500,800,dress,118,225,354,777
304578.jpeg,500,800,dress,210,148,310,747
195424.jpeg,500,800,dress,187,140,332,535
195424.jpeg,500,800,footwear,176,699,312,793
397322.jpeg,500,800,dress,23,80,437,800
195421.jpeg,500,800,dress,184,151,337,541
195421.jpeg,500,800,footwear,175,740,281,800
195414.jpeg,500,800,dress,174,140,329,546
195414.jpeg,500,800,footwear,219,695,290,789
159267.jpeg,500,800,dress,136,178,500,705
179661.jpeg,500,800,dress,110,159,349,772
204357.jpeg,500,800,dress,170,147,338,473
204357.jpeg,500,800,footwear,118,667,194,787
204357.jpeg,500,800,footwear,269,698,342,795
285789.jpeg,500,800,dress,179,136,319,500
285789.jpeg,500,800,footwear,202,669,281,800
146621.jpeg,500,800,dress,174,125,352,794
32931.jpeg,500,800,dress,150,137,333,599
32931.jpeg,500,800,footwear,215,699,266,793
157055.jpeg,500,800,dress,155,116,357,477
157055.jpeg,500,800,footwear,231,695,315,797
311846.jpeg,500,800,dress,182,132,316,514
311846.jpeg,500,800,footwear,222,708,258,771
354480.jpeg,500,800,dress,154,66,337,773
195417.jpeg,500,800,dress,174,139,336,536
195417.jpeg,500,800,footwear,180,704,273,785
283237.jpeg,500,800,dress,179,143,350,495
283237.jpeg,500,800,footwear,200,698,300,800
159145.jpeg,500,800,dress,161,172,366,658
285793.jpeg,500,800,dress,199,116,323,521
285793.jpeg,500,800,footwear,216,693,308,800
357674.jpeg,500,800,dress,178,56,333,429
357674.jpeg,500,800,footwear,190,672,228,780
288579.jpeg,500,800,dress,216,120,328,547
288579.jpeg,500,800,footwear,210,688,301,800
347603.jpeg,500,800,dress,132,190,369,745
123773.jpeg,500,800,dress,123,69,359,562
123773.jpeg,500,800,footwear,189,685,251,800
328662.jpeg,500,800,dress,186,26,323,779
153081.jpeg,500,800,dress,173,87,358,693
153081.jpeg,500,800,footwear,189,725,310,798
186322.jpeg,500,800,dress,171,61,318,739
186322.jpeg,500,800,footwear,210,711,276,788
311851.jpeg,500,800,dress,179,146,308,521
311851.jpeg,500,800,footwear,239,721,269,776
356378.jpeg,500,800,dress,127,67,385,716
139362.jpeg,500,800,dress,212,106,350,476
139362.jpeg,500,800,footwear,194,680,311,800
204361.jpeg,500,800,dress,96,177,364,701
109754.jpeg,500,800,dress,128,185,401,753
168857.jpeg,500,800,dress,195,140,329,522
168857.jpeg,500,800,footwear,221,682,296,795
381397.jpeg,500,800,dress,144,93,354,615
133311.jpeg,500,800,dress,124,110,316,562
133311.jpeg,500,800,footwear,171,697,277,800
215649.jpeg,500,800,dress,192,142,319,466
215649.jpeg,500,800,footwear,194,693,291,769
